12/01/24 18:15
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	
合計：         	3069	24891	    145412	    165791	
未翻訳：        	3040	24820	    144923	    165258	
繰り返しを除いた：   	2349	22763	    127567	    146731	
繰り返しを除いた未翻訳：	2325	22699	    127124	    146246	


ファイルごとの翻訳状況：

ファイル名                    	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
Ap-Changes.xml           	     50	    49	         42	            41	    383	   379	        373	           369	          2080	         2064	              2047	                 2031	          2416	         2397	              2379	                 2360	
Ap-Debug.xml             	     67	    66	         56	            55	    464	   461	        402	           399	          2473	         2450	              2174	                 2151	          2943	         2918	              2584	                 2559	
Ap-FAQ.xml               	     39	    38	         39	            38	    357	   356	        357	           356	          1904	         1901	              1904	                 1901	          2211	         2208	              2211	                 2208	
Ap-Install.xml           	     67	    66	         58	            57	    475	   474	        468	           467	          2699	         2687	              2627	                 2615	          3111	         3099	              3036	                 3024	
Ap-LSB.xml               	     39	    38	         29	            28	    376	   370	        257	           251	          1987	         1957	              1401	                 1371	          2312	         2277	              1617	                 1582	
Ap-OCF.xml               	    133	   132	        114	           113	    873	   868	        841	           836	          4485	         4459	              4311	                 4285	          5207	         5177	              5020	                 4990	
Ap-Samples.xml           	    111	   110	         64	            63	    421	   419	        290	           288	          3330	         3310	              2177	                 2157	          3503	         3482	              2311	                 2290	
Ap-Upgrade.xml           	    110	   109	         80	            79	    820	   817	        714	           711	          4370	         4346	              3820	                 3796	          5068	         5042	              4443	                 4417	
Ap-Upgrade-Config.xml    	     57	    56	         56	            55	    594	   589	        591	           586	          3215	         3183	              3198	                 3166	          3719	         3683	              3700	                 3664	
Author_Group.xml         	      4	     3	          4	             3	      6	     5	          6	             5	            37	           31	                37	                   31	            38	           32	                38	                   32	
Book_Info.xml            	     12	    11	         10	             9	    149	   147	        147	           145	           772	          750	               770	                  748	           910	          887	               908	                  885	
Ch-Advanced-Options.xml  	    323	   322	        278	           277	   3142	  3140	       3028	          3026	         17506	        17485	             16470	                16449	         20136	        20114	             19057	                19035	
Ch-Advanced-Resources.xml	    464	   463	        283	           282	   3129	  3126	       2557	          2554	         22371	        22350	             15945	                15924	         24921	        24898	             18114	                18091	
Ch-Basics.xml            	    208	   207	        165	           164	   1895	  1893	       1734	          1732	         10860	        10841	              9660	                 9641	         12481	        12461	             11171	                11151	
Ch-Constraints.xml       	    292	   291	        201	           200	   2375	  2373	       2190	          2188	         13323	        13304	             11813	                11794	         15187	        15167	             13622	                13602	
Ch-Intro.xml             	     83	    82	         73	            72	   1017	  1016	        872	           871	          5794	         5781	              4985	                 4972	          6697	         6684	              5757	                 5744	
Ch-Nodes.xml             	     71	    70	         61	            60	    815	   813	        755	           753	          4250	         4238	              3903	                 3891	          4942	         4929	              4545	                 4532	
Ch-Options.xml           	    139	   136	        119	           118	   1031	  1025	        984	           982	          5736	         5694	              5464	                 5450	          6635	         6590	              6336	                 6321	
Ch-Resources.xml         	    304	   303	        223	           222	   2374	  2372	       2170	          2168	         13852	        13836	             11983	                11967	         15792	        15775	             13852	                13835	
Ch-Rules.xml             	    255	   254	        195	           194	   2013	  2012	       1908	          1907	         11533	        11528	             10605	                10600	         13076	        13071	             12118	                12113	
Ch-Status.xml            	    155	   154	        135	           134	   1557	  1553	       1523	          1519	          9222	         9202	              8908	                 8888	         10380	        10356	             10055	                10031	
Ch-Stonith.xml           	     48	    47	         40	            39	    510	   506	        500	           496	          2784	         2758	              2663	                 2637	          3221	         3191	              3100	                 3070	
Pacemaker_Explained.xml  	     14	    13	         13	            12	     61	    56	         59	            54	           515	          479	               491	                  455	           546	          506	               522	                  482	
Preface.xml              	      1	     0	          1	             0	      1	     0	          1	             0	             7	            0	                 7	                    0	             7	            0	                 7	                    0	
Revision_History.xml     	     23	    20	         10	            10	     53	    50	         36	            36	           307	          289	               204	                  204	           332	          314	               228	                  228	
